Statement,Header,Field Name,Field Value,,,,,,,,,,,,,
Statement,Data,BrokerName,Interactive Brokers LLC,,,,,,,,,,,,,
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830",,,,,,,,,,,,,
Statement,Data,Title,Activity Statement,,,,,,,,,,,,,
Statement,Data,Period,"January 1, 2022 - December 31, 2022",,,,,,,,,,,,,
Statement,Data,WhenGenerated,"2023-02-26, 05:25:40 EST",,,,,,,,,,,,,
Account Information,Header,Field Name,Field Value,,,,,,,,,,,,,
Account Information,Data,Name,Andrey Dmitriev,,,,,,,,,,,,,
Account Information,Data,Account,U5941404,,,,,,,,,,,,,
Account Information,Data,Account Type,Individual,,,,,,,,,,,,,
Account Information,Data,Customer Type,Individual,,,,,,,,,,,,,
Account Information,Data,Account Capabilities,Margin,,,,,,,,,,,,,
Account Information,Data,Base Currency,USD,,,,,,,,,,,,,
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change,,,,,,,,,
Net Asset Value,Data,Cash ,1490.763733,26.43505402,-0.000032178,26.43502184,-1464.328711,,,,,,,,,
Net Asset Value,Data,Cash Collateral,3778.919942,0,0,0,-3778.919942,,,,,,,,,
Net Asset Value,Data,Stock,21602.99388,310.84,0,310.84,-21292.15388,,,,,,,,,
Net Asset Value,Data,Securities Lent,-3778.919942,0,0,0,3778.919942,,,,,,,,,
Net Asset Value,Data,Interest Accruals,2.028674,0,0,0,-2.028674,,,,,,,,,
Net Asset Value,Data,Dividend Accruals,4.62,0,0,0,-4.62,,,,,,,,,
Net Asset Value,Data,Total,23100.40629,337.275054,-0.000032178,337.2750218,-22763.13126,,,,,,,,,
Net Asset Value,Header,Time Weighted Rate of Return,,,,,,,,,,,,,,
Net Asset Value,Data,-41.71%,,,,,,,,,,,,,,
Change in NAV,Header,Field Name,Field Value,,,,,,,,,,,,,
Change in NAV,Data,Starting Value,23100.40629,,,,,,,,,,,,,
Change in NAV,Data,Mark-to-Market,-1055.055716,,,,,,,,,,,,,
Change in NAV,Data,Deposits & Withdrawals,-582.372966,,,,,,,,,,,,,
Change in NAV,Data,Position Transfers,-20892.81026,,,,,,,,,,,,,
Change in NAV,Data,Grant Activity,-225.04,,,,,,,,,,,,,
Change in NAV,Data,Dividends,58.99,,,,,,,,,,,,,
Change in NAV,Data,Withholding Tax,-15.15,,,,,,,,,,,,,
Change in NAV,Data,Change in Dividend Accruals,-4.62,,,,,,,,,,,,,
Change in NAV,Data,Interest,8.232317,,,,,,,,,,,,,
Change in NAV,Data,Change in Interest Accruals,-2.0219853,,,,,,,,,,,,,
Change in NAV,Data,Other Fees,-0.74,,,,,,,,,,,,,
Change in NAV,Data,Commissions,-49.39841742,,,,,,,,,,,,,
Change in NAV,Data,Transaction Fees,-3.13754667,,,,,,,,,,,,,
Change in NAV,Data,Other FX Translations,-0.0066887,,,,,,,,,,,,,
Change in NAV,Data,Ending Value,337.2750218,,,,,,,,,,,,,
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code,,,
Mark-to-Market Performance Summary,Data,Stocks,1398,2000,0,4.4,--,91.1861,-2.564,-7.01481277,0,81.60728723,,,,
Mark-to-Market Performance Summary,Data,Stocks,1810,0,0,--,--,-65.49592,7.6902,-3.3006118,0,-61.1063318,,,,
Mark-to-Market Performance Summary,Data,Stocks,2039,700,0,14.02,--,-131.62824,0.7692,-3.43944678,0,-134.2984868,,,,
Mark-to-Market Performance Summary,Data,Stocks,ASX,20,0,7.81,--,-15.4,0,0,0,-15.4,,,,
Mark-to-Market Performance Summary,Data,Stocks,ATVI,8,0,66.53,--,120.28,17.48,-0.35934552,0,137.4006545,,,,
Mark-to-Market Performance Summary,Data,Stocks,BGS,0,0,--,--,-53.85,1.5,-0.33525725,4.99,-47.69525725,,,,
Mark-to-Market Performance Summary,Data,Stocks,BHP,8,0,60.35,--,76.72,-1.52,-0.36374305,0,74.83625695,,,,
Mark-to-Market Performance Summary,Data,Stocks,BTG,0,0,--,--,116,-1.3,-0.86818349,0,113.8318165,,,,
Mark-to-Market Performance Summary,Data,Stocks,BTU,55,0,10.07,--,193.6,5.5,-0.26224729,0,198.8377527,,,,
Mark-to-Market Performance Summary,Data,Stocks,COIN,0,0,--,--,33.56,63.36,-0.7001145,0,96.2198855,,,,
Mark-to-Market Performance Summary,Data,Stocks,CONd,0,0,--,--,-100.529905,10.1772,-1.4135,0,-91.766205,,,,
Mark-to-Market Performance Summary,Data,Stocks,CRNC,0,0,--,--,-52.32,4.44,-0.32745725,0,-48.20745725,,,,
Mark-to-Market Performance Summary,Data,Stocks,DKNG,15,0,27.47,--,-204.8,-22.9,-0.6340145,0,-228.3340145,,,,
Mark-to-Market Performance Summary,Data,Stocks,EUA,1400,0,0.245,--,-246.41491,0,0,0,-246.41491,,,,
Mark-to-Market Performance Summary,Data,Stocks,FTCH,15,0,33.43,--,-330.35,-9.6685,-0.69923972,0,-340.7177397,,,,
Mark-to-Market Performance Summary,Data,Stocks,GOLD,45,0,19,--,29.35,3.55,-0.69589279,0,32.20410721,,,,
Mark-to-Market Performance Summary,Data,Stocks,HOOD,36,0,17.76,--,-125.5,21,-0.37405725,0,-104.8740573,,,,
Mark-to-Market Performance Summary,Data,Stocks,HYG,0,0,--,--,0,0,0,0.57,0.57,,,,
Mark-to-Market Performance Summary,Data,Stocks,IBKR,7.449,4.2963,79.42,72.35,-55.72,0,0,1.44,-54.28,,,,
Mark-to-Market Performance Summary,Data,Stocks,IDXX,1,0,658.46,--,-18.1,-10.81,-0.34835725,0,-29.25835725,,,,
Mark-to-Market Performance Summary,Data,Stocks,INTC,10,0,51.5,--,-33.9,0,0,2.55,-31.35,,,,
Mark-to-Market Performance Summary,Data,Stocks,KAP,0,0,--,--,-70.2,-17.55,-1.93046785,0,-89.68046785,,,,
Mark-to-Market Performance Summary,Data,Stocks,KGC,210,0,5.81,--,27.3,12,-0.28308893,3.32,42.33691107,,,,
Mark-to-Market Performance Summary,Data,Stocks,KTOS,28,0,19.4,--,126.71,-12.04,-0.61470211,0,114.0552979,,,,
Mark-to-Market Performance Summary,Data,Stocks,LDOS,5,0,88.9,--,79.25,-2.1,-0.34856767,0,76.80143233,,,,
Mark-to-Market Performance Summary,Data,Stocks,LQD,0,0,--,--,0,0,0,0.49,0.49,,,,
Mark-to-Market Performance Summary,Data,Stocks,LYFT,10,0,42.73,--,-61.2,-17,-0.33125725,0,-78.53125725,,,,
